serum,virus,replicate,concentration,well_id,plate_name,experiment_rep,fraction infectivity,input_folder
87_4,RSV B 2024,1,1.143e-05,F9,V4P4,RSV_Historical_Sera_2,0.7842,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,1,3.81e-06,F10,V4P4,RSV_Historical_Sera_2,0.805,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.025,G2,V4P4,RSV_Historical_Sera_2,0.0006291,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.008333,G3,V4P4,RSV_Historical_Sera_2,0.002509,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.002778,G4,V4P4,RSV_Historical_Sera_2,0.01224,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.0009259,G5,V4P4,RSV_Historical_Sera_2,0.1125,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.0003086,G6,V4P4,RSV_Historical_Sera_2,0.4581,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,0.0001029,G7,V4P4,RSV_Historical_Sera_2,0.7957,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,3.429e-05,G8,V4P4,RSV_Historical_Sera_2,0.8466,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,1.143e-05,G9,V4P4,RSV_Historical_Sera_2,1.024,24.10.17_RSVNeut_Sera_Evo2
87_4,RSV B 2024,2,3.81e-06,G10,V4P4,RSV_Historical_Sera_2,0.8269,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.025,D2,V4P4,RSV_Historical_Sera_2,0.0005109,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.008333,D3,V4P4,RSV_Historical_Sera_2,0.001975,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.002778,D4,V4P4,RSV_Historical_Sera_2,0.0247,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.0009259,D5,V4P4,RSV_Historical_Sera_2,0.1228,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.0003086,D6,V4P4,RSV_Historical_Sera_2,0.299,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,0.0001029,D7,V4P4,RSV_Historical_Sera_2,0.5094,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,3.429e-05,D8,V4P4,RSV_Historical_Sera_2,0.7645,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,1.143e-05,D9,V4P4,RSV_Historical_Sera_2,0.6916,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,1,3.81e-06,D10,V4P4,RSV_Historical_Sera_2,0.8849,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.025,E2,V4P4,RSV_Historical_Sera_2,0.004254,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.008333,E3,V4P4,RSV_Historical_Sera_2,0.009727,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.002778,E4,V4P4,RSV_Historical_Sera_2,0.01374,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.0009259,E5,V4P4,RSV_Historical_Sera_2,0.08403,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.0003086,E6,V4P4,RSV_Historical_Sera_2,0.3117,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,0.0001029,E7,V4P4,RSV_Historical_Sera_2,0.5462,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,3.429e-05,E8,V4P4,RSV_Historical_Sera_2,0.7395,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,1.143e-05,E9,V4P4,RSV_Historical_Sera_2,0.6741,24.10.17_RSVNeut_Sera_Evo2
85_7,RSV B 2024,2,3.81e-06,E10,V4P4,RSV_Historical_Sera_2,0.8608,24.10.17_RSVNeut_Sera_Evo2
85_8,RSV B 2024,1,0.025,B2,V4P4,RSV_Historical_Sera_2,0.0006529,24.10.17_RSVNeut_Sera_Evo2
