date,BEI or IntRef,serum,virus,replicate,concentration,fraction infectivity
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,0.01,0.000306755
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,0.0025,0.000550983
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,0.000625,0.057795578
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,0.00015625,0.349666925
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,3.90625E-05,0.735624668
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,9.76563E-06,0.927867915
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,2.44141E-06,1.093873881
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,6.10352E-07,1.053904941
24.10.31,BEI,BEI Medium Control NR-4022,RSV B1 R2,3,1.52588E-07,1.128693449
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,0.01,0.00052241
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,0.0025,0.00088938
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,0.000625,0.063154462
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,0.00015625,0.471973622
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,3.90625E-05,1.044820465
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,9.76563E-06,0.83894344
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,2.44141E-06,0.805246567
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,6.10352E-07,1.028515526
24.10.31,BEI,BEI Low Control NR-4023,RSV B1 R2,1,1.52588E-07,1.133954129
